"İl, medeni durum ve cinsiyete göre nüfus, 2022-2023",,,,,,,,,,,,,,,,,,,,
"Population by province, marital status and sex, 2022-2023",,,,,,,,,,,,,,,,,,,,
[15 ve daha yukarı yaştaki nüfus-Population 15 years of age and over],,,,,,,,,,,,,,,,,,,,
"Yıl
Year",İl-Provinces,Toplam-Total,,,,Hiç evlenmedi-Never married,,,,Evli-Married,,,,Boşandı-Divorced,,,,Eşi öldü-Widowed,,
,,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female"
,Hakkari, 198 924, 104 345, 94 579,, 90 232, 51 055, 39 177,, 101 751, 51 811, 49 940,, 1 224,  670,  554,, 5 717,  809, 4 908
,Hatay,1 240 263, 618 248, 622 015,, 357 540, 204 638, 152 902,, 775 238, 385 978, 389 260,, 45 761, 19 595, 26 166,, 61 724, 8 037, 53 687
,Isparta, 366 341, 179 275, 187 066,, 97 117, 53 804, 43 313,, 229 609, 114 965, 114 644,, 14 438, 6 653, 7 785,, 25 177, 3 853, 21 324
,Mersin,1 491 564, 740 393, 751 171,, 414 451, 236 003, 178 448,, 910 335, 455 990, 454 345,, 85 455, 36 797, 48 658,, 81 323, 11 603, 69 720
,İstanbul,12 644 129,6 279 582,6 364 547,,4 007 324,2 242 914,1 764 410,,7 398 322,3 683 748,3 714 574,, 686 454, 281 651, 404 803,, 552 029, 71 269, 480 760
,İzmir,3 668 723,1 808 490,1 860 233,, 953 172, 555 414, 397 758,,2 206 539,1 101 962,1 104 577,, 279 279, 120 572, 158 707,, 229 733, 30 542, 199 191
,Kars, 205 414, 104 977, 100 437,, 68 019, 39 545, 28 474,, 122 510, 61 679, 60 831,, 3 461, 1 809, 1 652,, 11 424, 1 944, 9 480
,Kastamonu, 319 934, 156 961, 162 973,, 73 766, 40 829, 32 937,, 204 808, 104 354, 100 454,, 11 413, 5 935, 5 478,, 29 947, 5 843, 24 104
,Kayseri,1 115 285, 554 188, 561 097,, 295 203, 169 511, 125 692,, 712 618, 356 081, 356 537,, 45 272, 20 070, 25 202,, 62 192, 8 526, 53 666
,Kırklareli, 313 091, 157 890, 155 201,, 76 183, 46 942, 29 241,, 195 648, 98 710, 96 938,, 16 009, 8 202, 7 807,, 25 251, 4 036, 21 215
,Kırşehir, 198 365, 97 356, 101 009,, 52 571, 29 186, 23 385,, 123 762, 62 438, 61 324,, 8 000, 3 928, 4 072,, 14 032, 1 804, 12 228
,Kocaeli,1 611 987, 810 653, 801 334,, 435 919, 255 660, 180 259,,1 026 588, 512 575, 514 013,, 70 889, 30 998, 39 891,, 78 591, 11 420, 67 171
,Konya,1 773 482, 872 984, 900 498,, 465 049, 260 454, 204 595,,1 140 261, 569 843, 570 418,, 67 225, 28 286, 38 939,, 100 947, 14 401, 86 546
,Kütahya, 484 920, 237 937, 246 983,, 117 410, 67 314, 50 096,, 311 807, 155 811, 155 996,, 17 728, 8 632, 9 096,, 37 975, 6 180, 31 795
,Malatya, 635 852, 314 843, 321 009,, 187 667, 104 220, 83 447,, 389 222, 195 220, 194 002,, 21 421, 9 635, 11 786,, 37 542, 5 768, 31 774
,Manisa,1 179 152, 589 302, 589 850,, 273 942, 165 919, 108 023,, 769 181, 385 347, 383 834,, 52 933, 25 213, 27 720,, 83 096, 12 823, 70 273
,Kahramanmaraş, 869 455, 440 115, 429 340,, 238 234, 139 407, 98 827,, 562 171, 281 412, 280 759,, 28 247, 12 851, 15 396,, 40 803, 6 445, 34 358
,Mardin, 587 744, 291 869, 295 875,, 221 173, 116 962, 104 211,, 337 405, 168 842, 168 563,, 7 377, 3 060, 4 317,, 21 789, 3 005, 18 784
